@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}

@data
1918,'2016/11/03 14:04:52:091',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1919,'2016/11/03 14:04:52:142',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1920,'2016/11/03 14:04:52:191',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1921,'2016/11/03 14:04:52:242',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1922,'2016/11/03 14:04:52:292',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1923,'2016/11/03 14:04:52:342',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1924,'2016/11/03 14:04:52:391',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1925,'2016/11/03 14:04:52:442',38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,?
1926,'2016/11/03 14:05:00:287',39,-56.373825,-50.059357,18.523483,-66.335587,-25.651588,115.548401,-42.142517,-12.373749,-75.899185,-55.416756,-17.267319,20.603973,-73.403969,-43.751099,58.434692,-90.54245,-28.892807,19.020233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1927,'2016/11/03 14:05:00:335',39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1928,'2016/11/03 14:05:00:410',39,-57.696785,-50.192917,18.615646,-66.137894,-25.751068,116.229675,-42.520721,-12.063873,-75.363869,-55.263954,-17.439674,21.21814,-73.449829,-43.809608,58.624023,-90.553154,-28.774673,19.870834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1929,'2016/11/03 14:05:00:460',39,-57.315514,-50.08567,18.537766,-65.885811,-25.677361,116.806305,-42.445114,-12.071655,-74.917374,-55.084686,-17.411674,21.73175,-73.400932,-43.679543,59.368286,-90.442268,-28.623795,20.580505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1930,'2016/11/03 14:05:00:510',39,-56.468552,-49.8741,19.059662,-65.509392,-25.361778,117.586182,-41.826988,-12.102707,-74.185951,-54.58522,-17.303795,22.443604,-72.992874,-43.432259,60.671265,-89.929977,-28.539284,21.268188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1931,'2016/11/03 14:05:00:559',39,-54.994293,-49.192261,18.11882,-65.038979,-25.367203,118.313934,-41.204926,-11.527328,-73.098862,-54.002914,-17.093529,23.357162,-72.651199,-43.228554,61.085297,-89.433868,-28.163292,21.884689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1932,'2016/11/03 14:05:00:609',39,-51.506729,-47.491837,16.399353,-64.517349,-25.349243,119.631256,-39.456223,-9.778015,-70.181351,-52.842186,-16.283386,25.511963,-71.746719,-42.716568,61.197357,-88.254524,-27.339516,22.377243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1933,'2016/11/03 14:05:00:658',39,-49.143753,-44.049553,12.848312,-62.207321,-24.43969,119.802612,-36.43634,-4.824966,-66.923538,-50.134102,-13.433823,27.379547,-69.570992,-40.411545,58.822266,-85.705368,-24.071854,22.166748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1934,'2016/11/03 14:05:00:709',39,-47.209999,-40.984909,7.474731,-61.501862,-24.502312,118.613098,-35.312241,-2.586655,-66.024567,-49.206306,-12.348419,27.342575,-69.139626,-39.537224,56.339386,-84.942833,-22.570747,21.050873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1935,'2016/11/03 14:05:00:761',39,-45.820641,-42.219795,4.427353,-60.658379,-23.801437,113.733215,-32.397194,-7.287415,-73.576172,-47.245941,-14.282272,20.908813,-69.376022,-39.796898,53.922729,-83.713348,-22.95385,15.677963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1936,'2016/11/03 14:05:00:809',39,-46.791504,-39.046509,0.769089,-61.580772,-25.015373,114.659302,-34.861237,-1.57164,-68.195099,-48.994164,-12.011368,24.39328,-70.28241,-38.915787,51.277222,-85.272629,-21.011993,17.80101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1937,'2016/11/03 14:05:00:859',39,-47.05629,-38.654442,0.039703,-62.043732,-25.521751,114.678986,-35.614822,-2.04361,-67.886688,-49.750946,-11.95665,24.831894,-70.885422,-39.021645,51.055832,-86.015305,-20.994125,18.273605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1938,'2016/11/03 14:05:00:910',39,-47.365799,-38.657898,-0.616943,-62.24868,-25.849388,114.368103,-35.825195,-3.103592,-68.428207,-50.043983,-12.06543,24.707886,-71.227966,-39.089615,50.807007,-86.357613,-20.993088,18.220001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
1939,'2016/11/03 14:05:00:958',39,-47.601952,-38.7295,-1.102692,-62.29612,-26.069672,114.108002,-35.956795,-3.87468,-68.958694,-50.172981,-12.166992,24.531952,-71.357262,-39.199501,50.389023,-86.51857,-21.028381,18.147034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
